from_id,to_id,period,exposure
F113,F210,during,16.98
F113,F144,during,9.39
F113,F218,during,3.99
F113,F035,during,90.7
F113,F209,during,31.91
F113,F094,during,16.93
F115,F151,during,17.81
F115,F062,during,8.77
F115,F043,during,4.44
F115,F079,during,10.82
F118,F151,during,3.0
F118,F208,during,5.28
F118,F062,during,2.16
F119,F151,during,5.49
F119,F208,during,3.48
F119,F062,during,4.8
F119,F079,during,5.26
F119,F098,during,7.09
F119,F215,during,1.78
F120,F151,during,8.04
F120,F208,during,8.8
F120,F043,during,4.9
F120,F079,during,5.22
F120,F210,during,12.82
F121,F151,during,10.43
F121,F208,during,13.5
F121,F062,during,7.49
F121,F043,during,4.76
F121,F079,during,25.52
F121,F137,during,19.4
F121,F044,during,4.12
F121,F107,during,5.25
F121,F106,during,4.7
F122,F027,during,3.45
F124,F151,during,6.78
F124,F208,during,6.33
F124,F079,during,13.06
F124,F139,during,5.91
F124,F181,during,15.53
F125,F151,during,11.71
F125,F062,during,28.05
F125,F079,during,6.94
F126,F115,during,8.75
F126,F001,during,3.59
F126,F012,during,8.79
F126,F181,during,7.02
F126,F009,during,14.13
F127,F151,during,32.67
F127,F208,during,52.16
F127,F062,during,33.69
F127,F043,during,28.95
F127,F079,during,21.95
F127,F031,during,16.84
F127,F027,during,8.71
F127,F164,during,11.04
F127,F126,during,23.86
F127,F015,during,37.35
F127,F175,during,18.96
F127,F091,during,57.95
F128,F151,during,3.1
F128,F208,during,2.64
F128,F062,during,0.82
F128,F043,during,3.66
F128,F079,during,1.7
F129,F057,during,2.86
F131,F062,during,8.57
F131,F095,during,2.43
F132,F151,during,47.33
F132,F208,during,40.91
F132,F062,during,4.92
F132,F043,during,18.37
F132,F079,during,12.44
F132,F114,during,17.76
F132,F209,during,7.56
F132,F095,during,16.25
F133,F056,during,5.59
F134,F151,during,3.86
F134,F208,during,13.54
F134,F062,during,3.21
F134,F043,during,13.9
F134,F079,during,11.51
F134,F107,during,32.42
F134,F027,during,13.51
F134,F058,during,2.82
F134,F125,during,14.27
F134,F015,during,36.24
F135,F170,during,1.38
F136,F103,during,13.34
F136,F006,during,23.83
F136,F057,during,41.04
F137,F091,during,4.93
F137,F136,during,12.25
F137,F187,during,12.01
F138,F009,during,10.47
F138,F005,during,4.31
F138,F124,during,3.03
F139,F136,during,3.91
F139,F122,during,1.15
F143,F107,during,8.06
F143,F171,during,3.72
F144,F132,during,0.83
F144,F097,during,3.19
F145,F089,during,9.8
F145,F074,during,8.69
F146,F151,during,2.08
F146,F208,during,3.24
F146,F062,during,9.12
F146,F043,during,7.22
F146,F127,during,4.2
F147,F108,during,7.84
F147,F074,during,6.92
F148,F010,during,24.58
F148,F062,during,14.02
F149,F151,during,3.8
F149,F043,during,9.06
F150,F113,during,9.36
F151,F200,during,2.45
F152,F108,during,5.93
F152,F004,during,3.24
F152,F188,during,7.07
F153,F112,during,3.38
F153,F113,during,2.91
F153,F161,during,2.39
F154,F151,during,8.28
F154,F208,during,14.25
F154,F062,during,14.72
F154,F043,during,19.66
F154,F158,during,7.43
F154,F035,during,4.34
F154,F188,during,17.9
F155,F145,during,19.29
F156,F200,during,8.1
F157,F151,during,27.93
F157,F043,during,2.72
F157,F015,during,20.21
F157,F062,during,13.1
F158,F050,during,22.06
F158,F199,during,8.2
F158,F147,during,11.63
F158,F054,during,7.55
F158,F210,during,45.37
F158,F132,during,28.04
F158,F195,during,12.88
F162,F009,during,8.26
F163,F151,during,23.01
F163,F062,during,10.79
F163,F043,during,6.91
F163,F079,during,5.78
F164,F150,during,24.96
F164,F202,during,27.52
F165,F108,during,0.29
F165,F180,during,1.07
F165,F212,during,1.87
F165,F044,during,1.98
F166,F085,during,3.31
F167,F048,during,6.36
F169,F092,during,2.58
F169,F199,during,2.76
F169,F077,during,11.26
F169,F149,during,6.91
F169,F071,during,22.17
F171,F108,during,3.77
F171,F175,during,7.37
F172,F108,during,4.77
F172,F200,during,3.79
F174,F134,during,4.38
F175,F171,during,1.0
F177,F075,during,25.07
F177,F029,during,21.38
F177,F217,during,7.98
F177,F090,during,9.3
F178,F016,during,3.12
F178,F085,during,3.01
F178,F094,during,2.57
F178,F077,during,2.45
F178,F050,during,5.4
F179,F151,during,2.12
F179,F208,during,12.72
F179,F062,during,24.6
F179,F043,during,14.22
F179,F027,during,19.6
F179,F177,during,9.08
F181,F075,during,1.6
F182,F095,during,3.84
F184,F151,during,13.38
F184,F062,during,6.56
F184,F043,during,12.04
F184,F079,during,6.18
F184,F066,during,7.0
F184,F086,during,15.92
F184,F035,during,16.23
F184,F095,during,2.54
F184,F155,during,8.31
F185,F151,during,2.77
F185,F062,during,1.74
F185,F043,during,4.72
F185,F079,during,2.53
F185,F086,during,4.09
F186,F108,during,1.69
F186,F164,during,7.51
F187,F151,during,15.93
F187,F208,during,15.7
F187,F062,during,9.77
F187,F043,during,9.14
F187,F079,during,12.06
F188,F208,during,5.43
F188,F043,during,10.11
F188,F079,during,18.01
F189,F196,during,3.23
F190,F151,during,18.76
F190,F208,during,9.33
F190,F062,during,32.88
F190,F079,during,59.1
F190,F122,during,7.28
F190,F141,during,3.63
F193,F061,during,0.41
F195,F043,during,3.85
F195,F079,during,10.07
F196,F151,during,12.4
F196,F208,during,15.9
F196,F062,during,5.08
F196,F043,during,9.25
F196,F209,during,3.93
F196,F105,during,12.98
F196,F199,during,32.5
F198,F108,during,4.48
F198,F176,during,2.07
F198,F002,during,7.45
F199,F073,during,27.07
F199,F140,during,8.27
F200,F151,during,25.98
F200,F062,during,59.81
F200,F043,during,5.79
F200,F079,during,53.66
F200,F163,during,16.8
F200,F009,during,17.16
F200,F004,during,15.59
F200,F201,during,15.15
F200,F188,during,12.4
F200,F027,during,39.89
F200,F177,during,55.35
F201,F151,during,1.23
F201,F208,during,6.04
F201,F062,during,6.38
F201,F043,during,7.52
F201,F079,during,7.2
F202,F108,during,21.82
F202,F082,during,10.91
F203,F209,during,1.25
F205,F108,during,4.61
F205,F099,during,8.65
F206,F151,during,0.89
F206,F062,during,2.82
F206,F043,during,3.91
F206,F079,during,1.42
F207,F196,during,3.42
F209,F047,during,19.73
F209,F057,during,20.34
F209,F016,during,2.82
F210,F170,during,7.83
F210,F039,during,3.07
F212,F017,during,16.79
F212,F182,during,3.94
F212,F156,during,17.02
F212,F116,during,9.75
F212,F097,during,4.08
F212,F151,during,15.77
F212,F208,during,14.19
F212,F062,during,2.63
F212,F043,during,14.58
F212,F079,during,43.77
F212,F070,during,5.93
F212,F127,during,14.32
F213,F114,during,4.2
F217,F171,during,2.42
F217,F107,during,11.2
F217,F185,during,4.85
F218,F087,during,6.37
F219,F208,during,6.26
F219,F018,during,3.75
F220,F151,during,1.19
F220,F208,during,16.48
F220,F079,during,10.63
F003,F196,after,0.71
F005,F067,after,11.43
F005,F029,after,19.96
F007,F014,after,7.24
F009,F071,after,84.5
F009,F138,after,64.8
F009,F026,after,98.73
F009,F200,after,58.19
F009,F051,after,28.98
F009,F059,after,123.44
F009,F153,after,21.19
F009,F173,after,63.17
F009,F146,after,77.97
F009,F213,after,81.9
F010,F170,after,11.77
F010,F196,after,24.4
F010,F150,after,39.87
F010,F059,after,30.79
F010,F192,after,18.27
F012,F153,after,9.24
F014,F029,after,3.01
F016,F214,after,5.93
F016,F212,after,31.04
F017,F027,after,6.43
F017,F094,after,2.26
F020,F062,after,4.65
F022,F146,after,4.31
F026,F177,after,6.95
F027,F051,after,26.72
F027,F084,after,50.41
F027,F140,after,31.18
F027,F146,after,88.81
F027,F119,after,105.79
F027,F026,after,20.75
F028,F138,after,0.57
F028,F215,after,2.42
F029,F180,after,6.33
F029,F032,after,1.23
F029,F208,after,1.52
F029,F151,after,7.43
F029,F116,after,1.86
F030,F145,after,6.63
F030,F126,after,14.15
F031,F192,after,73.64
F031,F150,after,9.88
F031,F153,after,15.86
F031,F097,after,23.86
F031,F200,after,14.82
F031,F103,after,33.87
F031,F177,after,28.8
F034,F108,after,13.08
F034,F066,after,3.46
F035,F026,after,82.11
F035,F157,after,21.61
F035,F059,after,20.33
F035,F192,after,15.21
F035,F149,after,6.58
F036,F173,after,1.09
F037,F136,after,8.01
F037,F171,after,9.27
F038,F212,after,13.93
F038,F005,after,45.94
F038,F163,after,27.37
F038,F146,after,25.1
F039,F026,after,11.15
F039,F049,after,6.87
F039,F175,after,4.69
F042,F126,after,1.94
F043,F103,after,2.0
F045,F150,after,12.66
F047,F084,after,31.01
F048,F200,after,17.92
F049,F150,after,2.9
F050,F173,after,12.19
F050,F027,after,5.71
F051,F084,after,11.64
F054,F059,after,2.17
F055,F150,after,6.94
F056,F153,after,14.88
F056,F029,after,15.26
F056,F126,after,12.52
F056,F049,after,5.22
F057,F027,after,38.02
F057,F066,after,77.47
F057,F097,after,8.75
F057,F108,after,37.44
F059,F094,after,1.16
F061,F126,after,9.84
F061,F161,after,19.52
F062,F108,after,8.56
F062,F172,after,8.48
F062,F153,after,4.5
F066,F049,after,40.71
F066,F008,after,20.48
F066,F094,after,13.61
F066,F061,after,2.85
F066,F108,after,2.78
F070,F174,after,0.9
F071,F193,after,2.43
F074,F212,after,6.3
F075,F153,after,71.88
F075,F059,after,36.98
F075,F175,after,53.86
F075,F120,after,77.61
F083,F051,after,22.91
F083,F175,after,3.52
F084,F027,after,1.11
F085,F062,after,1.9
F085,F031,after,1.89
F087,F066,after,1.89
F087,F126,after,1.7
F092,F126,after,14.57
F093,F013,after,12.25
F093,F085,after,16.7
F093,F115,after,13.77
F093,F200,after,27.48
F093,F177,after,40.34
F093,F086,after,8.39
F093,F108,after,18.81
F093,F031,after,8.47
F093,F173,after,2.33
F093,F175,after,14.41
F094,F003,after,9.24
F095,F200,after,18.9
F095,F136,after,39.41
F095,F150,after,21.04
F095,F212,after,43.39
F097,F192,after,19.27
F097,F177,after,13.61
F097,F171,after,11.87
F101,F029,after,7.38
F103,F042,after,3.18
F103,F084,after,26.32
F106,F111,after,1.52
F107,F153,after,16.64
F108,F119,after,11.11
F108,F104,after,8.22
F108,F200,after,23.24
F111,F200,after,9.01
F113,F027,after,53.23
F113,F150,after,3.11
F113,F137,after,11.56
F113,F200,after,47.59
F114,F136,after,10.72
F118,F173,after,4.49
F119,F118,after,6.83
F121,F177,after,0.19
F122,F032,after,3.77
F122,F027,after,6.49
F123,F136,after,3.21
F124,F066,after,23.93
F124,F212,after,10.62
F126,F007,after,7.73
F126,F175,after,12.07
F126,F070,after,3.13
F127,F066,after,7.85
F132,F059,after,7.45
F132,F081,after,10.69
F134,F196,after,4.28
F134,F059,after,33.34
F134,F103,after,27.21
F134,F175,after,31.85
F136,F138,after,3.31
F137,F084,after,3.56
F137,F175,after,7.82
F138,F126,after,12.98
F139,F138,after,9.65
F140,F126,after,12.03
F140,F059,after,0.91
F142,F125,after,12.43
F142,F108,after,5.06
F143,F094,after,5.13
F145,F026,after,3.53
F145,F200,after,39.42
F152,F094,after,5.37
F152,F051,after,14.64
F152,F066,after,1.39
F154,F108,after,6.82
F155,F150,after,15.75
F155,F022,after,4.22
F155,F108,after,14.49
F155,F171,after,17.37
F155,F066,after,16.25
F157,F033,after,16.58
F159,F084,after,0.66
F161,F084,after,7.92
F162,F195,after,9.61
F162,F097,after,5.58
F163,F150,after,9.66
F163,F173,after,9.84
F164,F200,after,45.61
F164,F103,after,54.82
F164,F026,after,11.09
F164,F076,after,6.16
F164,F060,after,32.34
F166,F108,after,1.42
F167,F204,after,4.32
F167,F196,after,4.76
F167,F212,after,1.04
F170,F196,after,3.94
F170,F019,after,4.89
F172,F029,after,1.35
F176,F173,after,6.35
F176,F066,after,12.82
F176,F178,after,12.49
F177,F097,after,19.71
F177,F200,after,5.11
F178,F027,after,2.34
F179,F026,after,9.64
F181,F146,after,3.01
F182,F027,after,2.88
F183,F173,after,0.51
F184,F059,after,8.07
F185,F099,after,7.78
F186,F059,after,1.61
F186,F214,after,2.39
F190,F074,after,50.51
F190,F175,after,27.12
F190,F062,after,8.35
F191,F171,after,1.26
F191,F173,after,0.25
F193,F157,after,8.58
F194,F119,after,1.56
F194,F171,after,1.59
F196,F084,after,25.66
F196,F153,after,2.89
F197,F138,after,3.7
F198,F171,after,1.72
F198,F153,after,17.07
F199,F138,after,7.85
F199,F108,after,14.62
F199,F212,after,22.4
F200,F062,after,31.87
F200,F159,after,18.64
F201,F121,after,3.32
F201,F212,after,2.98
F202,F150,after,3.34
F202,F092,after,27.91
F202,F066,after,4.32
F202,F126,after,12.77
F202,F146,after,3.94
F204,F182,after,1.73
F206,F192,after,2.64
F210,F136,after,6.66
F210,F200,after,18.84
F211,F193,after,3.67
F212,F207,after,7.51
F212,F197,after,1.39
F212,F064,after,5.12
F212,F148,after,13.91
F212,F059,after,6.33
F217,F138,after,14.64
F217,F108,after,4.09
F220,F119,after,0.36
