from_id,to_id,block,number_of_flights,seats,delay_min
ACG,ABK,midday,4,624,8.6
ACG,ABK,afternoon,7,973,59.2
ACG,ABK,evening,4,600,13.0
ACH,ABK,morning,4,600,5.7
ACH,ABK,midday,4,612,4.0
ACH,ABK,afternoon,5,415,61.6
ACH,ABK,evening,6,1176,0.0
ACI,AGC,morning,4,332,12.5
ACI,AGC,midday,5,995,11.0
ACI,AGC,afternoon,5,870,19.7
ACI,AGC,evening,5,550,12.2
ACJ,AAB,morning,4,432,14.2
ACJ,AAB,midday,3,501,11.4
ACJ,AAB,afternoon,6,540,16.1
ACJ,AAB,evening,5,455,16.4
ACJ,ACO,morning,1,119,9.7
ACJ,ACO,midday,1,117,16.9
ACJ,ACO,afternoon,2,316,8.6
ACJ,ACO,evening,1,76,16.3
ACJ,AEZ,morning,3,585,15.4
ACJ,AEZ,midday,4,380,15.3
ACJ,AEZ,afternoon,7,567,21.6
ACJ,AEZ,evening,5,360,7.3
ACK,AAB,morning,6,456,6.6
ACK,AAB,midday,1,192,9.2
ACK,AAB,afternoon,4,464,18.1
ACK,AAB,evening,2,180,15.9
ACK,AEZ,morning,2,366,12.6
ACK,AEZ,midday,6,954,8.2
ACK,AEZ,afternoon,5,810,13.5
ACK,AEZ,evening,6,1092,10.2
ACK,AFO,morning,5,995,13.8
ACK,AFO,midday,7,1225,21.2
ACK,AFO,afternoon,10,1840,12.5
ACK,AFO,evening,9,765,15.8
ACL,AGC,morning,3,477,8.0
ACL,AGC,midday,4,620,6.4
ACL,AGC,afternoon,5,685,12.6
ACL,AGC,evening,4,692,10.0
ACM,AAB,morning,4,592,6.0
ACM,AAB,midday,5,920,17.9
ACM,AAB,afternoon,5,805,14.7
ACM,AAB,evening,5,855,13.4
ACM,ACE,morning,1,79,7.6
ACM,ACE,midday,2,204,11.6
ACM,ACE,afternoon,2,218,19.7
ACM,ACE,evening,2,218,10.9
ACM,AEZ,morning,3,537,15.7
ACM,AEZ,midday,6,786,12.1
ACM,AEZ,afternoon,8,1272,11.1
ACM,AEZ,evening,5,920,8.9
ACN,AAB,morning,7,756,4.9
ACN,AAB,midday,5,940,11.2
ACN,AAB,afternoon,5,915,16.2
ACN,AAB,evening,6,1152,8.4
ACN,AEZ,morning,5,565,13.9
ACN,AEZ,midday,5,805,13.6
ACN,AEZ,afternoon,7,1344,0.9
ACN,AEZ,evening,6,1080,13.7
ACN,AFO,morning,7,1274,14.1
ACN,AFO,midday,8,1432,16.3
ACN,AFO,afternoon,9,1305,10.8
ACN,AFO,evening,8,1152,18.9
ACO,AAB,morning,5,365,13.9
ACO,AAB,midday,4,472,17.9
ACO,AAB,afternoon,4,708,13.8
ACO,AAB,evening,7,994,11.6
ACO,AEZ,morning,3,321,10.5
ACO,AEZ,midday,6,840,12.2
ACO,AEZ,afternoon,7,1036,16.6
ACO,AEZ,evening,6,582,16.9
ACO,AGI,morning,3,297,10.1
ACO,AGI,midday,1,120,15.2
ACO,AGI,afternoon,3,309,15.0
ACO,AGI,evening,3,540,18.2
ACP,ABG,morning,2,292,10.8
ACP,ABG,midday,2,216,6.5
ACP,ABG,afternoon,5,425,3.9
ACP,ABG,evening,2,280,18.7
ACP,ADY,morning,5,365,8.8
ACP,ADY,midday,7,994,2.2
ACP,ADY,afternoon,7,1064,8.3
ACP,ADY,evening,5,715,14.4
ACQ,ABK,morning,5,415,10.7
ACQ,ABK,midday,5,765,12.2
ACQ,ABK,afternoon,5,865,55.5
ACQ,ABK,evening,4,644,7.7
ACR,AAB,morning,5,355,8.4
ACR,AAB,midday,3,405,11.3
ACR,AAB,afternoon,6,1056,14.2
ACR,AAB,evening,4,612,15.5
ACR,AAQ,morning,1,102,17.9
ACR,AAQ,midday,1,143,11.2
ACR,AAQ,afternoon,1,121,12.4
ACR,AAQ,evening,2,346,12.5
ACR,AEZ,morning,3,267,9.6
ACR,AEZ,midday,4,556,11.1
ACR,AEZ,afternoon,6,936,14.1
ACR,AEZ,evening,5,675,16.3
ACS,ABK,morning,4,516,12.9
ACS,ABK,midday,5,405,11.8
ACS,ABK,afternoon,5,395,47.3
ACS,ABK,evening,5,985,11.3
ACT,ADY,morning,4,536,11.4
ACT,ADY,midday,7,609,10.9
ACT,ADY,afternoon,3,321,20.9
ACT,ADY,evening,4,660,7.8
ACU,AGR,morning,2,278,16.0
ACU,AGR,midday,3,351,17.9
ACU,AGR,afternoon,4,456,14.7
ACU,AGR,evening,4,408,24.1
ACV,ABH,morning,3,531,9.8
ACV,ABH,midday,3,366,12.7
ACV,ABH,afternoon,3,357,10.0
ACV,ABH,evening,3,474,7.3
ACV,ADY,morning,4,780,12.0
ACV,ADY,midday,5,955,15.7
ACV,ADY,afternoon,7,1232,14.7
ACV,ADY,evening,4,544,16.7
ACW,ABK,morning,3,231,10.0
ACW,ABK,midday,6,492,10.9
ACW,ABK,afternoon,6,1086,77.6
ACW,ABK,evening,5,700,13.5
ACX,ADY,morning,5,425,6.0
ACX,ADY,midday,3,483,9.5
ACX,ADY,afternoon,6,1158,7.1
ACX,ADY,evening,4,344,14.4
ACY,ADY,morning,6,1074,9.9
ACY,ADY,midday,7,672,13.3
ACY,ADY,afternoon,7,644,14.8
ACY,ADY,evening,7,819,16.5
ACZ,AGC,morning,4,732,10.1
ACZ,AGC,midday,7,854,9.6
ACZ,AGC,afternoon,6,768,14.7
ACZ,AGC,evening,5,720,16.2
ADA,AAB,morning,4,328,13.4
ADA,AAB,midday,4,308,10.6
ADA,AAB,afternoon,7,1260,16.8
ADA,AAB,evening,6,930,9.9
ADA,AEZ,morning,5,720,10.0
ADA,AEZ,midday,5,530,9.6
ADA,AEZ,afternoon,6,540,21.5
ADA,AEZ,evening,8,1384,13.8
ADA,AFO,morning,6,594,14.3
ADA,AFO,midday,9,1125,18.6
ADA,AFO,afternoon,10,710,24.0
ADA,AFO,evening,8,1240,6.2
ADB,AAY,morning,1,116,8.3
ADB,AAY,midday,2,170,11.5
ADB,AAY,afternoon,1,144,9.0
ADB,AAY,evening,2,168,5.5
ADB,AGC,morning,3,303,13.0
ADB,AGC,midday,4,304,10.3
ADB,AGC,afternoon,3,450,17.0
ADB,AGC,evening,3,216,14.8
ADC,AGC,morning,4,608,12.8
ADC,AGC,midday,5,525,12.8
ADC,AGC,afternoon,4,712,14.3
ADC,AGC,evening,6,450,11.7
ADD,ADY,morning,5,585,18.4
ADD,ADY,midday,4,384,12.9
ADD,ADY,afternoon,5,965,5.7
ADD,ADY,evening,4,556,8.1
ADE,AGC,morning,5,910,5.6
ADE,AGC,midday,4,368,13.1
ADE,AGC,afternoon,5,570,16.7
ADE,AGC,evening,5,370,13.4
ADF,ABK,morning,4,340,17.0
ADF,ABK,midday,4,420,12.4
ADF,ABK,afternoon,2,224,56.7
ADF,ABK,evening,4,364,6.0
ADF,AHF,morning,1,127,5.5
ADF,AHF,midday,3,312,10.3
ADF,AHF,afternoon,1,149,58.0
ADF,AHF,evening,2,352,3.7
ADG,AAR,morning,1,165,7.7
ADG,AAR,midday,1,179,10.4
ADG,AAR,afternoon,1,124,54.4
ADG,AAR,evening,2,218,7.8
ADG,ABK,morning,3,573,9.3
ADG,ABK,midday,2,212,11.5
ADG,ABK,afternoon,5,925,54.3
ADG,ABK,evening,4,624,14.3
ADH,ABK,morning,4,788,15.6
ADH,ABK,midday,3,297,12.0
ADH,ABK,afternoon,5,990,56.2
ADH,ABK,evening,6,432,14.5
ADI,AGC,morning,3,222,14.9
ADI,AGC,midday,5,405,10.7
ADI,AGC,afternoon,7,1148,17.7
ADI,AGC,evening,3,228,15.9
ADJ,AAB,morning,4,716,18.4
ADJ,AAB,midday,4,332,20.9
ADJ,AAB,afternoon,5,620,9.6
ADJ,AAB,evening,4,304,16.0
ADJ,ABA,morning,2,270,11.1
ADJ,ABA,midday,1,80,11.8
ADJ,ABA,afternoon,2,214,9.7
ADJ,ABA,evening,2,374,7.7
ADJ,AEZ,morning,5,510,13.2
ADJ,AEZ,midday,6,840,7.8
ADJ,AEZ,afternoon,5,630,12.0
ADJ,AEZ,evening,6,858,10.2
ADJ,AFO,morning,5,680,10.6
ADJ,AFO,midday,7,917,16.6
ADJ,AFO,afternoon,8,1008,10.9
ADJ,AFO,evening,9,1134,13.6
ADK,ABK,morning,2,230,20.8
ADK,ABK,midday,5,670,15.4
ADK,ABK,afternoon,5,715,59.0
ADK,ABK,evening,4,352,6.9
ADL,AAB,morning,5,455,8.4
ADL,AAB,midday,3,303,20.6
ADL,AAB,afternoon,4,476,9.1
ADL,AAB,evening,4,432,11.6
ADL,AEZ,morning,4,752,11.5
ADL,AEZ,midday,6,972,14.4
ADL,AEZ,afternoon,4,404,9.9
ADL,AEZ,evening,4,652,10.9
ADM,ABK,morning,6,768,14.4
ADM,ABK,midday,4,364,8.2
ADM,ABK,afternoon,8,584,54.2
ADM,ABK,evening,6,474,15.9
ADN,AGC,morning,2,148,14.7
ADN,AGC,midday,4,480,11.7
ADN,AGC,afternoon,4,680,7.3
ADN,AGC,evening,5,475,7.5
ADO,AAB,morning,4,568,9.3
ADO,AAB,midday,3,405,16.2
ADO,AAB,afternoon,7,1141,9.2
ADO,AAB,evening,7,588,11.7
ADO,AEZ,morning,4,692,13.0
ADO,AEZ,midday,4,704,0.0
ADO,AEZ,afternoon,5,480,15.8
ADO,AEZ,evening,4,512,7.1
ADP,ADY,morning,6,1080,8.7
ADP,ADY,midday,4,300,10.0
ADP,ADY,afternoon,5,965,15.0
ADP,ADY,evening,4,460,12.4
ADQ,ABU,morning,1,161,2.4
ADQ,ABU,midday,1,165,8.4
ADQ,ABU,afternoon,2,364,10.5
ADQ,ABU,evening,1,167,9.4
ADQ,ADY,morning,4,580,11.7
ADQ,ADY,midday,4,716,10.9
ADQ,ADY,afternoon,5,835,16.4
ADQ,ADY,evening,2,290,10.6
ADR,AAB,morning,2,324,5.5
ADR,AAB,midday,4,492,14.0
ADR,AAB,afternoon,4,424,17.3
ADR,AAB,evening,3,450,8.9
ADR,AEZ,morning,3,567,16.4
ADR,AEZ,midday,5,415,15.8
ADR,AEZ,afternoon,6,816,13.6
ADR,AEZ,evening,4,504,1.1
ADS,ADY,morning,3,258,6.7
ADS,ADY,midday,4,476,19.5
ADS,ADY,afternoon,5,705,11.1
ADS,ADY,evening,6,918,3.1
ADT,ABK,morning,4,384,14.9
ADT,ABK,midday,4,544,12.1
ADT,ABK,afternoon,7,1127,59.0
ADT,ABK,evening,5,470,13.3
ADU,ABK,morning,4,736,11.8
ADU,ABK,midday,6,744,11.2
ADU,ABK,afternoon,6,522,57.4
ADU,ABK,evening,5,390,22.9
ADV,AEF,morning,1,168,14.9
ADV,AEF,midday,1,184,4.1
ADV,AEF,afternoon,2,180,14.8
ADV,AEF,evening,1,85,18.7
ADV,AGR,morning,5,820,14.8
ADV,AGR,midday,4,496,13.0
ADV,AGR,afternoon,4,288,18.8
ADV,AGR,evening,5,955,15.2
ADW,AGR,morning,5,450,20.0
ADW,AGR,midday,4,340,7.5
ADW,AGR,afternoon,4,456,11.9
ADW,AGR,evening,4,752,10.3
ADX,AGC,morning,3,216,11.1
ADX,AGC,midday,6,1140,9.4
ADX,AGC,afternoon,6,738,0.1
ADX,AGC,evening,6,918,16.4
ADY,AAB,morning,8,960,13.0
ADY,AAB,midday,11,1837,10.6
ADY,AAB,afternoon,11,1474,30.0
ADY,AAB,evening,10,720,9.8
ADY,AAK,morning,4,356,17.5
ADY,AAK,midday,5,420,12.3
ADY,AAK,afternoon,6,648,19.5
ADY,AAK,evening,6,1188,11.8
ADY,AAP,morning,4,668,14.0
ADY,AAP,midday,6,1134,12.8
ADY,AAP,afternoon,8,792,19.7
ADY,AAP,evening,6,738,11.3
ADY,AAV,morning,7,1267,6.7
ADY,AAV,midday,6,1014,14.7
ADY,AAV,afternoon,7,1386,36.2
ADY,AAV,evening,6,792,11.2
ADY,ABG,morning,7,714,12.0
ADY,ABG,midday,5,865,14.8
ADY,ABG,afternoon,6,990,25.8
ADY,ABG,evening,6,774,10.8
ADY,ABH,morning,8,576,0.7
ADY,ABH,midday,6,870,14.7
ADY,ABH,afternoon,8,720,11.1
ADY,ABH,evening,6,558,14.7
ADY,ABK,morning,6,708,11.7
ADY,ABK,midday,8,1112,17.0
ADY,ABK,afternoon,10,1840,12.4
ADY,ABK,evening,10,1580,4.1
ADY,ABM,morning,7,1022,12.0
ADY,ABM,midday,6,576,12.0
ADY,ABM,afternoon,7,1169,8.5
ADY,ABM,evening,8,1344,11.0
ADY,ABR,morning,5,485,22.7
ADY,ABR,midday,7,1309,16.2
ADY,ABR,afternoon,8,784,20.6
ADY,ABR,evening,6,600,14.9
ADY,ABU,morning,5,400,18.9
ADY,ABU,midday,5,675,9.0
ADY,ABU,afternoon,8,1024,16.4
ADY,ABU,evening,6,1140,10.9
ADY,ABV,morning,6,996,11.0
ADY,ABV,midday,7,1092,7.8
ADY,ABV,afternoon,7,721,13.1
ADY,ABV,evening,7,1344,7.0
ADY,ACP,morning,7,742,18.7
ADY,ACP,midday,4,696,13.3
ADY,ACP,afternoon,7,630,16.0
ADY,ACP,evening,7,1092,14.0
ADY,ACT,morning,5,495,12.1
ADY,ACT,midday,5,735,10.4
ADY,ACT,afternoon,8,1008,10.9
ADY,ACT,evening,6,1002,0.7
ADY,ACV,morning,6,1116,10.4
ADY,ACV,midday,6,696,10.8
ADY,ACV,afternoon,9,1134,19.3
ADY,ACV,evening,5,575,17.3
ADY,ACX,morning,4,704,18.8
ADY,ACX,midday,6,996,10.0
ADY,ACX,afternoon,7,721,13.4
ADY,ACX,evening,4,628,13.7
ADY,ACY,morning,7,721,22.0
ADY,ACY,midday,5,930,18.9
ADY,ACY,afternoon,6,624,22.2
ADY,ACY,evening,6,1194,12.3
ADY,ADD,morning,6,630,8.3
ADY,ADD,midday,7,588,15.5
ADY,ADD,afternoon,8,784,10.7
ADY,ADD,evening,8,1000,10.4
ADY,ADP,morning,7,952,12.4
ADY,ADP,midday,6,558,16.8
ADY,ADP,afternoon,8,1440,14.4
ADY,ADP,evening,6,612,2.2
ADY,ADQ,morning,5,350,12.7
ADY,ADQ,midday,6,822,7.8
ADY,ADQ,afternoon,8,1160,16.8
ADY,ADQ,evening,6,906,12.3
ADY,ADS,morning,4,736,10.4
ADY,ADS,midday,6,1140,18.2
ADY,ADS,afternoon,8,1288,13.4
ADY,ADS,evening,6,882,7.9
ADY,AED,morning,5,480,13.1
ADY,AED,midday,4,432,7.9
ADY,AED,afternoon,7,511,9.4
ADY,AED,evening,6,906,16.8
ADY,AEI,morning,5,785,14.8
ADY,AEI,midday,6,1032,9.8
ADY,AEI,afternoon,8,1552,8.5
ADY,AEI,evening,5,560,14.3
ADY,AET,morning,3,261,3.7
ADY,AET,midday,7,1351,13.1
ADY,AET,afternoon,8,1056,18.0
ADY,AET,evening,9,1377,8.0
ADY,AEW,morning,6,816,7.8
ADY,AEW,midday,6,1194,9.4
ADY,AEW,afternoon,6,1110,13.5
ADY,AEW,evening,7,938,13.6
ADY,AEZ,morning,7,1029,6.9
ADY,AEZ,midday,8,1392,15.7
ADY,AEZ,afternoon,11,2035,19.0
ADY,AEZ,evening,11,1045,9.6
ADY,AFD,morning,6,1116,8.4
ADY,AFD,midday,6,792,6.5
ADY,AFD,afternoon,7,602,19.7
ADY,AFD,evening,7,924,12.4
ADY,AFP,morning,7,1379,0.0
ADY,AFP,midday,5,630,8.7
ADY,AFP,afternoon,5,695,16.9
ADY,AFP,evening,7,1288,19.4
ADY,AFQ,morning,5,550,3.6
ADY,AFQ,midday,8,976,1.1
ADY,AFQ,afternoon,7,1253,19.9
ADY,AFQ,evening,6,720,16.7
ADY,AGA,morning,5,620,8.4
ADY,AGA,midday,6,612,7.9
ADY,AGA,afternoon,7,735,17.7
ADY,AGA,evening,7,1176,1.5
ADY,AGG,morning,6,1086,4.8
ADY,AGG,midday,5,945,9.5
ADY,AGG,afternoon,6,882,23.3
ADY,AGG,evening,8,872,8.0
ADY,AGJ,morning,5,385,11.7
ADY,AGJ,midday,4,324,13.3
ADY,AGJ,afternoon,5,690,22.7
ADY,AGJ,evening,6,438,9.8
ADY,AGM,morning,5,855,11.6
ADY,AGM,midday,6,648,17.5
ADY,AGM,afternoon,7,1295,16.4
ADY,AGM,evening,7,1029,17.4
ADY,AGO,morning,5,940,6.0
ADY,AGO,midday,6,696,10.0
ADY,AGO,afternoon,8,1048,17.5
ADY,AGO,evening,7,1302,8.0
ADY,AGQ,morning,4,520,6.3
ADY,AGQ,midday,6,462,13.2
ADY,AGQ,afternoon,4,564,21.3
ADY,AGQ,evening,6,870,11.1
ADY,AGR,morning,9,1350,10.9
ADY,AGR,midday,9,1377,15.1
ADY,AGR,afternoon,10,1630,12.9
ADY,AGR,evening,11,1716,15.0
ADY,AHB,morning,5,725,14.5
ADY,AHB,midday,6,504,20.8
ADY,AHB,afternoon,7,994,15.7
ADY,AHB,evening,6,1074,7.7
ADY,AHE,morning,5,595,13.0
ADY,AHE,midday,6,948,15.5
ADY,AHE,afternoon,7,875,17.1
ADY,AHE,evening,6,498,8.3
ADY,AHH,morning,5,415,11.4
ADY,AHH,midday,6,516,6.4
ADY,AHH,afternoon,8,688,18.0
ADY,AHH,evening,5,650,10.2
ADY,AHJ,morning,7,518,13.8
ADY,AHJ,midday,6,984,10.3
ADY,AHJ,afternoon,9,1350,16.6
ADY,AHJ,evening,4,688,3.7
ADY,AHR,morning,5,980,4.8
ADY,AHR,midday,7,805,5.7
ADY,AHR,afternoon,7,1379,17.4
ADY,AHR,evening,5,440,4.3
ADZ,AGR,morning,4,456,8.5
ADZ,AGR,midday,5,600,10.0
ADZ,AGR,afternoon,6,1158,9.3
ADZ,AGR,evening,4,448,17.3
AEA,AGC,morning,3,264,17.4
AEA,AGC,midday,4,392,16.5
AEA,AGC,afternoon,6,504,14.1
AEA,AGC,evening,4,520,13.8
AEB,AGC,morning,3,414,13.6
AEB,AGC,midday,5,785,15.2
AEB,AGC,afternoon,5,715,13.4
AEB,AGC,evening,4,352,16.3
AEC,AAB,morning,4,396,2.7
AEC,AAB,midday,5,980,14.3
AEC,AAB,afternoon,7,588,15.7
AEC,AAB,evening,5,820,10.3
AEC,AEZ,morning,3,573,18.2
AEC,AEZ,midday,5,635,5.9
AEC,AEZ,afternoon,7,1057,15.9
AEC,AEZ,evening,5,490,10.4
AED,ADY,morning,1,90,12.0
AED,ADY,midday,4,548,13.8
AED,ADY,afternoon,6,1158,12.8
AED,ADY,evening,4,316,13.2
AEE,ABK,morning,4,528,18.5
AEE,ABK,midday,5,775,10.1
AEE,ABK,afternoon,3,354,66.3
AEE,ABK,evening,3,237,10.8
AEF,AGR,morning,4,668,16.4
AEF,AGR,midday,5,805,9.7
AEF,AGR,afternoon,6,882,18.1
AEF,AGR,evening,6,846,22.2
AEG,AAB,morning,5,565,11.1
AEG,AAB,midday,5,380,2.9
AEG,AAB,afternoon,7,1372,13.5
AEG,AAB,evening,6,954,17.1
AEG,AEZ,morning,6,918,13.4
AEG,AEZ,midday,4,732,16.2
AEG,AEZ,afternoon,8,840,15.4
AEG,AEZ,evening,6,1164,17.8
AEG,AFO,morning,7,833,14.8
AEG,AFO,midday,9,1602,14.9
AEG,AFO,afternoon,8,1480,21.8
AEG,AFO,evening,10,1250,14.1
AEH,ABK,morning,6,978,14.3
AEH,ABK,midday,4,404,8.0
AEH,ABK,afternoon,4,752,54.9
AEH,ABK,evening,6,936,18.5
AEH,ACS,morning,1,82,12.2
AEH,ACS,midday,4,660,14.6
AEH,ACS,afternoon,1,170,62.2
AEH,ACS,evening,2,352,11.5
AEI,ADY,morning,5,365,12.4
AEI,ADY,midday,5,755,19.4
AEI,ADY,afternoon,7,1365,14.7
AEI,ADY,evening,6,1182,4.8
AEI,AGM,morning,1,151,10.8
AEI,AGM,midday,2,382,18.3
AEI,AGM,afternoon,2,172,11.3
AEI,AGM,evening,2,178,3.6
AEJ,AAB,morning,5,890,19.2
AEJ,AAB,midday,5,605,11.7
AEJ,AAB,afternoon,4,664,10.6
AEJ,AAB,evening,4,668,11.1
AEJ,AEZ,morning,2,258,16.2
AEJ,AEZ,midday,4,556,10.3
AEJ,AEZ,afternoon,6,474,17.4
AEJ,AEZ,evening,6,1056,13.3
AEK,ABK,morning,4,780,13.3
AEK,ABK,midday,6,816,13.6
AEK,ABK,afternoon,3,594,61.2
AEK,ABK,evening,6,480,20.8
AEL,AGR,morning,3,306,7.9
AEL,AGR,midday,5,520,4.7
AEL,AGR,afternoon,8,776,16.9
AEL,AGR,evening,5,870,13.6
AEM,AGC,morning,5,830,14.1
AEM,AGC,midday,5,610,14.0
AEM,AGC,afternoon,6,486,10.9
AEM,AGC,evening,6,672,16.6
AEN,AGC,morning,4,448,13.1
AEN,AGC,midday,4,556,13.4
AEN,AGC,afternoon,5,585,14.0
AEN,AGC,evening,5,925,20.0
AEO,AAB,morning,4,352,3.2
AEO,AAB,midday,4,316,13.6
AEO,AAB,afternoon,4,420,5.7
AEO,AAB,evening,5,685,9.7
AEO,AEZ,morning,2,386,10.4
AEO,AEZ,midday,4,596,1.8
AEO,AEZ,afternoon,4,436,12.2
AEO,AEZ,evening,3,384,8.0
AEP,AAB,morning,5,995,1.3
AEP,AAB,midday,4,484,13.6
AEP,AAB,afternoon,4,692,18.3
AEP,AAB,evening,4,388,21.3
AEP,AEZ,morning,3,315,13.3
AEP,AEZ,midday,6,834,9.2
AEP,AEZ,afternoon,4,712,17.2
AEP,AEZ,evening,4,428,16.6
AEP,AFO,morning,5,565,15.0
AEP,AFO,midday,8,1416,7.7
AEP,AFO,afternoon,7,1008,13.0
AEP,AFO,evening,7,1379,13.9
AEQ,AAB,morning,4,572,5.0
AEQ,AAB,midday,4,644,16.8
AEQ,AAB,afternoon,4,632,22.0
AEQ,AAB,evening,4,508,15.5
AEQ,AEZ,morning,2,318,17.1
AEQ,AEZ,midday,4,428,13.7
AEQ,AEZ,afternoon,7,1358,14.6
AEQ,AEZ,evening,6,1044,15.7
AER,AGC,morning,6,774,11.8
AER,AGC,midday,6,1146,10.2
AER,AGC,afternoon,5,430,21.4
AER,AGC,evening,5,665,19.9
AES,ABK,morning,6,600,6.4
AES,ABK,midday,5,510,17.5
AES,ABK,afternoon,7,1183,55.6
AES,ABK,evening,8,920,14.8
AET,ADY,morning,6,1014,11.2
AET,ADY,midday,5,365,18.0
AET,ADY,afternoon,6,1194,14.0
AET,ADY,evening,7,1274,15.5
AEU,ABK,morning,4,776,12.3
AEU,ABK,midday,4,368,13.3
AEU,ABK,afternoon,5,720,53.7
AEU,ABK,evening,5,775,19.6
AEV,AAB,morning,5,475,13.8
AEV,AAB,midday,5,455,17.0
AEV,AAB,afternoon,5,825,6.1
AEV,AAB,evening,5,920,10.8
AEV,AEZ,morning,4,784,16.2
AEV,AEZ,midday,5,600,13.1
AEV,AEZ,afternoon,4,636,4.1
AEV,AEZ,evening,5,765,17.3
AEW,ADY,morning,4,448,7.6
AEW,ADY,midday,5,795,17.0
AEW,ADY,afternoon,7,994,12.5
AEW,ADY,evening,4,488,12.4
AEX,ABK,morning,6,1104,15.9
AEX,ABK,midday,6,840,9.3
AEX,ABK,afternoon,7,1379,56.9
AEX,ABK,evening,5,930,13.2
AEY,ABK,morning,5,460,12.8
AEY,ABK,midday,4,788,4.1
AEY,ABK,afternoon,5,740,56.4
AEY,ABK,evening,5,950,11.8
AEZ,AAB,morning,9,945,5.9
AEZ,AAB,midday,11,1903,10.0
AEZ,AAB,afternoon,11,957,50.4
AEZ,AAB,evening,10,1800,11.3
AEZ,AAJ,morning,7,658,12.3
AEZ,AAJ,midday,8,1224,17.3
AEZ,AAJ,afternoon,10,1180,54.2
AEZ,AAJ,evening,8,1408,19.2
AEZ,AAO,morning,5,660,9.7
AEZ,AAO,midday,6,942,11.8
AEZ,AAO,afternoon,8,1408,59.5
AEZ,AAO,evening,6,1080,14.0
AEZ,AAQ,morning,6,1032,8.8
AEZ,AAQ,midday,6,696,13.4
AEZ,AAQ,afternoon,7,1043,61.3
AEZ,AAQ,evening,5,930,18.9
AEZ,AAT,morning,6,972,8.0
AEZ,AAT,midday,7,679,13.3
AEZ,AAT,afternoon,6,432,61.9
AEZ,AAT,evening,7,819,8.6
AEZ,ABA,morning,4,752,12.5
AEZ,ABA,midday,5,930,12.7
AEZ,ABA,afternoon,6,606,60.4
AEZ,ABA,evening,6,834,18.0
AEZ,ABI,morning,4,596,11.0
AEZ,ABI,midday,7,1190,11.1
AEZ,ABI,afternoon,7,609,59.6
AEZ,ABI,evening,7,784,11.1
AEZ,ABK,morning,9,1296,15.6
AEZ,ABK,midday,9,1557,9.6
AEZ,ABK,afternoon,11,968,47.5
AEZ,ABK,evening,9,1350,6.6
AEZ,ABL,morning,6,1128,14.8
AEZ,ABL,midday,6,1140,11.5
AEZ,ABL,afternoon,7,924,61.0
AEZ,ABL,evening,6,1020,9.7
AEZ,ABO,morning,6,516,12.4
AEZ,ABO,midday,6,978,21.3
AEZ,ABO,afternoon,6,900,47.7
AEZ,ABO,evening,10,730,5.6
AEZ,ACE,morning,6,774,15.3
AEZ,ACE,midday,7,1365,8.6
AEZ,ACE,afternoon,9,1710,60.6
AEZ,ACE,evening,7,616,10.9
AEZ,ACF,morning,6,630,14.4
AEZ,ACF,midday,6,642,11.1
AEZ,ACF,afternoon,7,1085,65.9
AEZ,ACF,evening,6,438,12.5
AEZ,ACJ,morning,6,522,6.9
AEZ,ACJ,midday,6,606,9.4
AEZ,ACJ,afternoon,8,616,55.6
AEZ,ACJ,evening,5,715,9.5
AEZ,ACK,morning,5,520,9.3
AEZ,ACK,midday,6,960,15.0
AEZ,ACK,afternoon,7,1008,51.1
AEZ,ACK,evening,7,504,11.6
AEZ,ACM,morning,6,630,10.8
AEZ,ACM,midday,6,696,9.9
AEZ,ACM,afternoon,6,1062,64.4
AEZ,ACM,evening,5,635,17.4
AEZ,ACN,morning,4,752,11.2
AEZ,ACN,midday,5,395,13.1
AEZ,ACN,afternoon,6,1056,54.5
AEZ,ACN,evening,5,625,15.3
AEZ,ACO,morning,6,750,18.6
AEZ,ACO,midday,6,576,13.5
AEZ,ACO,afternoon,8,624,55.8
AEZ,ACO,evening,6,792,14.4
AEZ,ACR,morning,4,296,16.7
AEZ,ACR,midday,6,594,9.9
AEZ,ACR,afternoon,5,825,60.5
AEZ,ACR,evening,6,888,8.5
AEZ,ADA,morning,6,1194,6.5
AEZ,ADA,midday,6,1002,13.6
AEZ,ADA,afternoon,6,816,49.1
AEZ,ADA,evening,5,935,12.4
AEZ,ADJ,morning,6,876,16.2
AEZ,ADJ,midday,7,630,2.9
AEZ,ADJ,afternoon,7,1029,54.0
AEZ,ADJ,evening,8,1288,8.5
AEZ,ADL,morning,5,645,12.9
AEZ,ADL,midday,5,800,11.4
AEZ,ADL,afternoon,6,804,66.5
AEZ,ADL,evening,5,550,17.0
AEZ,ADO,morning,5,735,12.0
AEZ,ADO,midday,6,918,11.3
AEZ,ADO,afternoon,7,609,58.3
AEZ,ADO,evening,8,656,8.0
AEZ,ADR,morning,4,396,15.0
AEZ,ADR,midday,7,1155,9.5
AEZ,ADR,afternoon,7,630,60.4
AEZ,ADR,evening,6,834,18.2
AEZ,ADY,morning,9,909,13.2
AEZ,ADY,midday,10,1060,9.3
AEZ,ADY,afternoon,9,1260,58.0
AEZ,ADY,evening,12,1680,0.7
AEZ,AEC,morning,7,924,11.3
AEZ,AEC,midday,6,690,13.6
AEZ,AEC,afternoon,5,350,54.7
AEZ,AEC,evening,6,684,17.7
AEZ,AEG,morning,6,558,13.9
AEZ,AEG,midday,5,640,7.4
AEZ,AEG,afternoon,6,822,58.9
AEZ,AEG,evening,6,828,12.5
AEZ,AEJ,morning,5,675,12.2
